activity_type,date_posted,year,activity_title,equipmend_used,indoor_outdoor,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_cadence,max_cadence,avg_pace,best_pace,elev_gain,elev_loss
running,31/08/2015,2015,Berwick-upon-Tweed Running,Nike Running Trainers,outdoor,6.12,692,46:32:00,151,170,0,--,--,07:37,04:51,197,327
cycling,30/08/2015,2015,Indoor cycling,Spinner Bike,indoor,0,726,50:27:00,149,180,0,--,--,--,--,--,--
cycling,29/08/2015,2015,Indoor cycling,Spinner Bike,indoor,0,706,48:26:00,153,180,0,--,--,--,--,--,--
cycling,26/08/2015,2015,Indoor cycling,Spinner Bike,indoor,0,774,51:11:00,156,177,0,--,--,--,--,--,--
cycling,22/08/2015,2015,Indoor cycling,Spinner Bike,indoor,0,617,40:33:00,155,181,0,--,--,--,--,--,--
cycling,19/08/2015,2015,Indoor cycling,Spinner Bike,indoor,0,666,49:39:00,146,182,0,--,--,--,--,--,--
cycling,17/08/2015,2015,Indoor cycling,Spinner Bike,indoor,0,686,47:29:00,150,181,0,--,--,--,--,--,--
cycling,16/08/2015,2015,Indoor cycling,Spinner Bike,indoor,18.7,706,47:45:00,--,--,0,--,--,23.5,--,--,--
cycling,11/08/2015,2015,Indoor cycling,Spinner Bike,indoor,16.8,610,41:14:00,--,--,0,--,--,24.4,--,--,--
running,11/08/2015,2015,Running,Nike Running Trainers,outdoor,0,--,41:36:00,--,95,0,--,--,--,--,--,--
cycling,10/08/2015,2015,Indoor cycling,Spinner Bike,indoor,17.5,721,50:57:00,151,179,0,--,--,20.6,--,--,--
cycling,09/08/2015,2015,Indoor cycling,Spinner Bike,indoor,19.29,679,47:15:00,151,179,0,--,--,24.5,--,--,--
cycling,08/08/2015,2015,Indoor cycling,Spinner Bike,indoor,16.9,665,46:41:00,153,181,0,--,--,21.7,--,--,--
cycling,05/08/2015,2015,Indoor cycling,Spinner Bike,indoor,17.89,739,51:04:00,153,183,0,--,--,21,--,--,--
cycling,03/08/2015,2015,Indoor cycling,Spinner Bike,indoor,20.23,710,52:45:00,146,179,0,--,--,23,--,--,--
cycling,02/08/2015,2015,Indoor cycling,Spinner Bike,indoor,18.78,685,46:33:00,151,179,0,--,--,24.2,--,--,--
